country_code,found_country,longitude,latitude,address,country_name,alt_addr,continent,timestamp,used,no_result
GB,True,-2.6440755,53.6493572,"Haigh, Lancashire, England",England,,Europe,,0,
GB,True,-0.4111138,52.0640034,"Bledsoe, Bedfordshire, England",England,,Europe,,0,
GB,True,-2.01262,53.9616069,"Skipton Church, Skipton, Yorkshire, England",England,,Europe,,0,
GB,True,-0.4982671,52.2223,Bletsoe (Bedford) England,United Kingdom,,Europe,,0,
GB,True,-1.7813927,52.0496652,"Chipping, Gloucestershire, England",England,,Europe,,0,
GB,True,-2.7169579,51.7228196,"Langstone, Monmouthshire, Wales",Wales,,Europe,,0,
GB,True,-0.5834292,52.0323946,"St. Mary the Virgin Churchyard, Bedford, Bedfordshire, England",England,,Europe,,0,
GB,True,-0.4111138,52.0640034,"Blestoe, Bedfordshire, England",England,,Europe,,0,
GB,True,-2.0160287,53.9618497,"Skipton, Yorkshire, England",England,,Europe,,0,
GB,True,-0.6489439,52.5659688,"Harringworth, Northamptonshire, England",England,,Europe,,0,
GB,True,-1.7954134,51.0690613,"Salisbury, Wiltshire, England, UK",United Kingdom,,Europe,,0,
GB,True,-1.8588423,51.5412221,"Lydiard Tregoze, Wiltshire, England",England,,Europe,,0,
GB,True,-2.1983579,51.005259,"Shaftesbury Abbey, Dorset",United Kingdom,,Europe,,0,
GB,True,-1.7741544,53.0277217,"Okeover, Staffordshire, England",England,,Europe,,0,
,True,,,8XHT-VN,,,,1767560234.5375936,0,True
FR,True,2.9906764,49.8031514,"Y, Somme, Picardie, France",France,,Europe,,0,
GB,True,-1.5863917,53.6923011,"Gawthorpe, Yorkshire, England",England,,Europe,,0,
GB,True,-1.5863917,53.6923011,"Gawthorpe, West Yorkshire, England, UK",United Kingdom,,Europe,,0,
GB,True,-1.5863917,53.6923011,"Gawthorpe, Yorkshire, England, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-2.8333331,51.7501058,"Langston, Monmouthshire, Wales",Wales,,Europe,,0,
GB,True,-3.5539979,51.5212979,"Coity, Bridgend, Wales, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-1.8017245,54.5910607,"Raby Castle, Durham, England",England,,Europe,,0,
GB,True,0.4646698,51.7704679,"Pleshy, Essex, England",England,,Europe,,0,
GB,True,-4.3319194,53.2782258,"Anglesey, Wales",Wales,,Europe,,0,
GB,True,-2.75,52.083333,"Hereford, Herefordshire Unitary Authority, Herefordshire, England",England,,Europe,,0,
GB,True,-0.9700664,51.4564242,"Greyfriars Church, Reading, Berkshire, England",England,,Europe,,0,
,True,,,Beheaded by Yorkists aft Battle of Mortimer's Cross.,,,,1767560254.304256,0,True
,True,,,War of the Roses - 1455-1487,,,,1767560255.7571747,0,True
FR,True,2.3160687,48.8703744,"Paris, Paris, Île-de-France, République française",France,,Europe,,0,
GB,True,-0.1809044,51.5346682,"Bermondsey Abbey, London, Westminster Abbey, England",England,,Europe,,0,
GB,True,-0.127391,51.499399,"Westminster Abbey, London, England",England,,Europe,,0,
GB,True,-3.73893,52.2928116,Wales,Wales,,Europe,,0,
FR,True,2.320041,48.8588897,"Paris, France",France,,Europe,,0,
FR,True,2.320041,48.8588897,"Hotel De Saint Pol, Paris, France",France,,Europe,,0,
FR,True,2.3627508,48.9383732,"Saint-Denis, Seine-Saint-Denis, France",France,,Europe,,0,
DE,True,11.5753822,48.1371079,"Munich, Bavaria",Germany,,Europe,,0,
FR,True,-1.2256982,46.6144085,"St Denis, Vendée, France",France,,Europe,,0,
GB,True,-2.6440755,53.6493572,"Haigh, Lancashire, England, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-2.6729245,53.7033223,"Haigh, Wigan, Lancashire, England",England,,Europe,,0,
GB,True,-2.2433812,53.7914342,"Driby Manor, Standish, Lancashire",United Kingdom,,Europe,,0,
