country_code,found_country,longitude,address,latitude,country_name,used,continent,alt_addr,timestamp,no_result
GB,True,-0.7732314,"Binfield, Berkshire, Eng",51.4312752,United Kingdom,0,Europe,,,
GB,True,-0.8946441,"Boveney, Bucks, England",51.7834994,England,0,Europe,,,
GB,True,-0.8946441,"Boveney, Bucks, Eng",51.7834994,United Kingdom,0,Europe,,,
GB,True,-0.6263098,"Of Burnham, , Eng",51.5185174,United Kingdom,0,Europe,,,
GB,True,-2.5650945,"Tewhitefield, Lancashire, England",53.8611712,England,0,Europe,,,
GB,True,-1.2649062,"Sulgrave Manor, Northamps, Eng",52.5310214,United Kingdom,0,Europe,,,
GB,True,-0.9182112,"Sulgrave Manor, Sulgrave, Northampton, England",52.2451778,England,0,Europe,,,
GB,True,-0.865913,"Gretworth, Northamptonshire, Eng",52.3106138,United Kingdom,0,Europe,,,
GB,True,-0.9182112,"Of, Sulgrave, Northampton, England",52.2451778,England,0,Europe,,,
GB,True,-0.2537791,"Greys Inn, Middlesex, England",51.5460558,England,0,Europe,,,
GB,True,-0.1114304,"Grays Inn London, , Eng",51.5190382,United Kingdom,0,Europe,,,
GB,True,-1.3685633,"Radway, Grange, Oxfordshire, Eng",52.07588,United Kingdom,0,Europe,,,
GB,True,-1.2649062,"Of Radway, Warricks, Eng",52.5310214,United Kingdom,0,Europe,,,
GB,True,-1.3975608,"Of, Wallop, Hants, England",50.9125822,England,0,Europe,,,
GB,True,-0.2511855,"Kyme, Lincolnshire, England",53.0284973,England,0,Europe,,,
GB,True,-0.5404819,"Scrivelsby, Lincoln, England",53.2293545,England,0,Europe,,,
GB,True,-1.1050234,", Ingleby Greenhow, Yorkshire, England",54.4498241,England,0,Europe,,,
GB,True,-0.2031209,"Of Scrivelsby, Lindssay, Lincolnshire, England",53.1823034,England,0,Europe,,,
GB,True,-0.6507385,"Boveney Buckinghamshire, England",51.4910492,England,0,Europe,,,
GB,True,-1.031873,"Wardville, Berkshire, Eng",51.4534889,United Kingdom,0,Europe,,,
GB,True,-1.2649062,"Of Boveney, Bckngh, England",52.5310214,England,0,Europe,,,
GB,True,-0.8946441,"Dorney, Bucks, England",51.7834994,England,0,Europe,,,
GB,True,-0.7732314,"Binfield, Berks, Eng",51.4312752,United Kingdom,0,Europe,,,
GB,True,-1.031873,"Of Aberfelde, Berks, Eng",51.4534889,United Kingdom,0,Europe,,,
GB,True,-0.9054306,"Arborfield, Berks, Eng",51.3963375,United Kingdom,0,Europe,,,
GB,True,-0.7748399,"Binfield, Berks, England",51.4658779,England,0,Europe,,,
GB,True,-0.8946441,"Of Dorney, Bucks, Eng",51.7834994,United Kingdom,0,Europe,,,
GB,True,-2.9343637,", Wharton, Lancashire, England",53.6037703,England,0,Europe,,,
GB,True,-2.8123655,"Warton, Lancashire, England",54.1418786,England,0,Europe,,,
GB,True,-1.2649062,"Greatworth, Northamps, Eng",52.5310214,United Kingdom,0,Europe,,,
GB,True,-1.1959081,"St. Katherine'S, Aisle, Greatworth, Church",52.0770068,United Kingdom,0,Europe,,,
GB,True,-1.2649062,"Charwelton, Northamps, Eng",52.5310214,United Kingdom,0,Europe,,,
GB,True,-1.5815742,"Shattiswell, Warwick, Eng",52.2814519,United Kingdom,0,Europe,,,
GB,True,-1.2578499,"Horley, Oxford, , Eng",51.7520131,United Kingdom,0,Europe,,,
GB,True,-1.2578499,"Horley, Oxford, , England",51.7520131,England,0,Europe,,,
GB,True,-1.5625084,"Pillerton, Warwick, , Eng",52.1363333,United Kingdom,0,Europe,,,
GB,True,-1.5815742,"Horley, Warwick, , Eng",52.2814519,United Kingdom,0,Europe,,,
GB,True,-0.2031209,"Scriveslby, Lincolnshire, England",53.1823034,England,0,Europe,,,
GB,True,-0.0761823,"Of, London, Middlesex, England",51.5161738,England,0,Europe,,,
GB,True,-0.2031209,"Of, Scriveslby, Lincolnshire, England",53.1823034,England,0,Europe,,,
GB,True,-1.0743052,"Of, Gawthorpe, York, England",53.9656579,England,0,Europe,,,
GB,True,-0.7229044,"Buckingham, Berkshire, Eng",51.556681,United Kingdom,0,Europe,,,
GB,True,-1.2649062,", , Eng",52.5310214,United Kingdom,0,Europe,,,
GB,True,-1.031873,"Of, Wardville, Berkshire, England",51.4534889,England,0,Europe,,,
GB,True,-0.7831119,"Of Binfield, Berks, Eng",51.42488,United Kingdom,0,Europe,,,
GB,True,-1.3975608,"Basingstoke, Hants, Eng",50.9125822,United Kingdom,0,Europe,,,
GB,True,-0.9054306,"Arborfield, Berkshire, England",51.3963375,England,0,Europe,,,
GB,True,-0.9054306,"Arborfield, Berks, England",51.3963375,England,0,Europe,,,
GB,True,-2.8123655,"Warton, Lancs, Eng",54.1418786,United Kingdom,0,Europe,,,
GB,True,-2.755655,"Of, Warton, Lancashire, England",54.153376,England,0,Europe,,,
GB,True,0.6727342,"Hengrave, Suffolk, England",52.2860353,England,0,Europe,,,
GB,True,-1.5878045,"Of, Gawthorpe, Yorkshire, England",53.6955438,England,0,Europe,,,
GB,True,-1.2337599,"Of, Fryston, York, England",53.7598705,England,0,Europe,,,
GB,True,-0.7110987,"Bray, Berks, Eng",51.5069253,United Kingdom,0,Europe,,,
GB,True,-2.0754758,"Aberfeldy, Pershore, England",52.1096993,England,0,Europe,,,
GB,True,-0.9682938,"Of, Basingstoke, Berkshire, England",51.4356541,England,0,Europe,,,
GB,True,-0.847955,"Of, Itchell, Hampshire, England",51.2911904,England,0,Europe,,,
GB,True,-1.3975608,"Sidmanton, Hants, Eng",50.9125822,United Kingdom,0,Europe,,,
GB,True,-2.547115,"Warton Lonesdale, Lancs, Eng",53.8611743,United Kingdom,0,Europe,,,
GB,True,-2.858891,"Of, Overton, Lancashire, England",54.0167279,England,0,Europe,,,
GB,True,-2.2665186,"Of, Oversley, , England",53.350703,England,0,Europe,,,
GB,True,-1.2952849,"Of, Newton Kyme, , England",53.8984388,England,0,Europe,,,
GB,True,-1.187771,"Of, Burghwallis, , England",53.6000851,England,0,Europe,,,
GB,True,-0.837235,"Of, Gowthorpe, Yorkshire, England",53.9810347,England,0,Europe,,,
GB,True,-1.38525,", Leckonfield, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.38525,"Battle Of, Towtown, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.0762586,"St Denys Church, York, Yorkshire, England",53.956714,England,0,Europe,,,
GB,True,-0.2537791,"St Margaret, Westminster, Middlesex, England",51.5460558,England,0,Europe,,,
GB,True,-0.4435804,"Of, Leconfield, Yorkshire, England",53.8834471,England,0,Europe,,,
GB,True,-1.3871054,"Manor, Cocks Lodge Near, Topcliffe, Yorkshire, England",54.1781348,England,0,Europe,,,
CZ,True,14.9071748,(40-1489),49.0709373,Czechia,0,Europe,,,
GB,True,-1.38525,"Beverly Minister, Beverly, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.38525,"Of, Leckonfield, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.8594198,", Wensley, Yorkshire, England",54.303133,England,0,Europe,,,
GB,True,-2.0159865,"Of, England",52.5051933,England,0,Europe,,,
GB,True,-1.031873,"Of Barkham, Berks, Eng",51.4534889,United Kingdom,0,Europe,,,
GB,True,-1.3249375,"Of, Newbury, Berkshire, England",51.3968471,England,0,Europe,,,
GB,True,-2.89701,"Of Warton, Lancashire, , England",53.7498867,England,0,Europe,,,
GB,True,-1.28041,"Of, Aldwark, Yorkshire, England",54.0689002,England,0,Europe,,,
GB,True,-1.38525,"Of, Monston, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.38525,"Chapel, Haselwood, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.8631335,"Of, Oversley, Warwickshire, England",52.2112318,England,0,Europe,,,
DE,True,6.6996207,Spm,49.9795824,Germany,0,Europe,,,
GB,True,-1.7072354,", Alnwick, Northumberland, England",55.4133398,England,0,Europe,,,
GB,True,0.190539,"Battle Of, St Albans, Kent, England",51.3934788,England,0,Europe,,,
GB,True,0.190539,"Abbey Church, St Albans, Kent, England",51.3934788,England,0,Europe,,,
GB,True,-1.8017245,"Of, Raby, Durham, England",54.5910607,England,0,Europe,,,
GB,True,-1.38525,"Of, Warkworth, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-1.2649062,"Whitbye, , , England",52.5310214,England,0,Europe,,,
GB,True,-1.38525,", Warkworth, Yorkshire, England",53.9825271,England,0,Europe,,,
GB,True,-0.8275279,"Infant, , , England",51.4104104,England,0,Europe,,,
GB,True,-1.2649062,"Sp Prob Infant, , , England",52.5310214,England,0,Europe,,,
GB,True,-0.9028043,"Battle Of, Northampton, Northamptonshire, England",52.2343297,England,0,Europe,,,
GB,True,-1.9070774,", Hedgeley Moor, Northumberland, England",55.4655667,England,0,Europe,,,
GB,True,-1.38525,", , Yorkshire, England",53.9825271,England,0,Europe,,,
FR,True,1.9180413,"Vp, Orleans, , France",47.9278966,France,0,Europe,,,
